player,category,ipl,intl_match_date,debut
Piyush Chawla,most_wickets,2008,10 Jun 2008,2006
Yusuf Pathan,most_runs,2008,10 Jun 2008,2007
Piyush Chawla,most_wickets,2008,12 Jun 2008,2006
Yusuf Pathan,most_runs,2008,12 Jun 2008,2007
Piyush Chawla,most_wickets,2008,14 Jun 2008,2006
Yusuf Pathan,most_runs,2008,14 Jun 2008,2007
Yusuf Pathan,most_runs,2008,25 Jun 2008,2007
Manpreet Gony,most_wickets,2008,25 Jun 2008,2008
Piyush Chawla,most_wickets,2008,25 Jun 2008,2006
Yusuf Pathan,most_runs,2008,26 Jun 2008,2007
Piyush Chawla,most_wickets,2008,26 Jun 2008,2006
Yusuf Pathan,most_runs,2008,28 Jun 2008,2007
Manpreet Gony,most_wickets,2008,28 Jun 2008,2008
Piyush Chawla,most_wickets,2008,02 Jul 2008,2006
Yusuf Pathan,most_runs,2008,02 Jul 2008,2007
Yusuf Pathan,most_runs,2008,14 Nov 2008,2007
Yusuf Pathan,most_runs,2008,20 Nov 2008,2007
Yusuf Pathan,most_runs,2008,23 Nov 2008,2007
Yusuf Pathan,most_runs,2008,26 Nov 2008,2007
Yusuf Pathan,most_runs,2008,28 Jan 2009,2007
Yusuf Pathan,most_runs,2008,31 Jan 2009,2007
Yusuf Pathan,most_runs,2008,05 Feb 2009,2007
Yusuf Pathan,most_runs,2008,08 Feb 2009,2007
Yusuf Pathan,most_runs,2008,10 Feb 2009,2007
Yusuf Pathan,most_runs,2008,25 Feb 2009,2007
Yusuf Pathan,most_runs,2008,27 Feb 2009,2007
Yusuf Pathan,most_runs,2008,03 Mar 2009,2007
Yusuf Pathan,most_runs,2008,11 Mar 2009,2007
Yusuf Pathan,most_runs,2008,06 Jun 2009,2007
Pragyan Ojha,most_wickets,2009,06 Jun 2009,2008
Rohit Sharma,best_averages_bowling,2009,06 Jun 2009,2007
Rohit Sharma,best_bowling_figures,2009,06 Jun 2009,2007
Rohit Sharma,most_runs,2009,06 Jun 2009,2007
Yusuf Pathan,most_runs,2008,14 Jun 2009,2007
Rohit Sharma,best_averages_bowling,2009,14 Jun 2009,2007
Rohit Sharma,best_bowling_figures,2009,14 Jun 2009,2007
Rohit Sharma,most_runs,2009,14 Jun 2009,2007
Rohit Sharma,best_averages_bowling,2009,26 Jun 2009,2007
Rohit Sharma,best_bowling_figures,2009,26 Jun 2009,2007
Rohit Sharma,most_runs,2009,26 Jun 2009,2007
Yusuf Pathan,most_runs,2008,26 Jun 2009,2007
Rohit Sharma,best_averages_bowling,2009,28 Jun 2009,2007
Rohit Sharma,best_bowling_figures,2009,28 Jun 2009,2007
Rohit Sharma,most_runs,2009,28 Jun 2009,2007
Yusuf Pathan,most_runs,2008,28 Jun 2009,2007
Rohit Sharma,best_averages_bowling,2009,03 Jul 2009,2007
Rohit Sharma,best_bowling_figures,2009,03 Jul 2009,2007
Rohit Sharma,most_runs,2009,03 Jul 2009,2007
Yusuf Pathan,most_runs,2008,03 Jul 2009,2007
Yusuf Pathan,most_runs,2008,11 Sep 2009,2007
Yusuf Pathan,most_runs,2008,14 Sep 2009,2007
Yusuf Pathan,most_runs,2008,26 Sep 2009,2007
Pragyan Ojha,most_wickets,2009,09 Dec 2009,2008
Rohit Sharma,best_averages_bowling,2009,09 Dec 2009,2007
Rohit Sharma,best_bowling_figures,2009,09 Dec 2009,2007
Rohit Sharma,most_runs,2009,09 Dec 2009,2007
Yusuf Pathan,most_runs,2008,09 Dec 2009,2007
Yusuf Pathan,most_runs,2008,12 Dec 2009,2007
Pragyan Ojha,most_wickets,2009,30 May 2010,2008
Pragyan Ojha,most_wickets,2010,05 Jun 2010,2008
Pragyan Ojha,most_wickets,2009,05 Jun 2010,2008
Ashok Dinda,best_averages_bowling,2010,05 Jun 2010,2009
Ravichandran Ashwin,best_bowling_figures,2010,05 Jun 2010,2010
Ravichandran Ashwin,best_averages_bowling,2009,05 Jun 2010,2010
Naman Ojha,most_runs,2010,05 Jun 2010,2010
Murali Vijay,most_runs,2010,12 Jun 2010,2008
Pragyan Ojha,most_wickets,2010,12 Jun 2010,2008
Pragyan Ojha,most_wickets,2009,12 Jun 2010,2008
Vinay Kumar,most_wickets,2010,12 Jun 2010,2010
Vinay Kumar,best_bowling_figures,2010,12 Jun 2010,2010
Ashok Dinda,best_averages_bowling,2010,12 Jun 2010,2009
Ravichandran Ashwin,best_bowling_figures,2010,12 Jun 2010,2010
Ravichandran Ashwin,best_averages_bowling,2009,12 Jun 2010,2010
Naman Ojha,most_runs,2010,12 Jun 2010,2010
Murali Vijay,most_runs,2010,13 Jun 2010,2008
Pragyan Ojha,most_wickets,2010,13 Jun 2010,2008
Pragyan Ojha,most_wickets,2009,13 Jun 2010,2008
Vinay Kumar,most_wickets,2010,13 Jun 2010,2010
Vinay Kumar,best_bowling_figures,2010,13 Jun 2010,2010
Ashok Dinda,best_averages_bowling,2010,13 Jun 2010,2009
Ravichandran Ashwin,best_bowling_figures,2010,13 Jun 2010,2010
Ravichandran Ashwin,best_averages_bowling,2009,13 Jun 2010,2010
Naman Ojha,most_runs,2010,13 Jun 2010,2010
Ashok Dinda,best_averages_bowling,2010,22 Jun 2010,2009
Pragyan Ojha,most_wickets,2010,22 Jun 2010,2008
Pragyan Ojha,most_wickets,2009,22 Jun 2010,2008
Pragyan Ojha,most_wickets,2010,10 Aug 2010,2008
Pragyan Ojha,most_wickets,2009,10 Aug 2010,2008
Pragyan Ojha,most_wickets,2010,16 Aug 2010,2008
Pragyan Ojha,most_wickets,2009,16 Aug 2010,2008
Pragyan Ojha,most_wickets,2010,22 Aug 2010,2008
Pragyan Ojha,most_wickets,2009,22 Aug 2010,2008
Murali Vijay,most_runs,2010,20 Oct 2010,2008
Vinay Kumar,most_wickets,2010,20 Oct 2010,2010
Vinay Kumar,best_bowling_figures,2010,20 Oct 2010,2010
Ravichandran Ashwin,best_bowling_figures,2010,20 Oct 2010,2010
Ravichandran Ashwin,best_averages_bowling,2009,20 Oct 2010,2010
Saurabh Tiwary,most_runs,2010,20 Oct 2010,2010
Murali Vijay,most_runs,2010,28 Nov 2010,2008
Ravichandran Ashwin,best_bowling_figures,2010,28 Nov 2010,2010
